name,line
SWAT,"Negotiator on site. Repeat, negotiator on site."
Caroline Phillips,"No, stop… I… I… I can't leave her. Oh, oh please, please, you gotta save my little girl... Wait… you’re sending an android?"
SWAT,"Alright, ma’am. We need to go."
Caroline Phillips,You can’t… you can't do that! You W- Why aren't you sending a real person? Don't let that thing near her! Keep that thing away from my daughter! KEEP IT AWAY!
Allen,Why are we wasting time sending an android to negotiate?! That piece of crap could jump from the rooftop any second. I DON’T GIVE A SHIT! My men are ready to step in... just give the order! Fuck! I don’t believe this…
Connor,Captain Allen? My name is Connor. I’m the android sent by CyberLife.
Allen,"It’s firing at everything that moves, it already shot down two of my men... We could easily get it, but they’re on the edge of the balcony. If it falls, she falls."
Connor,Do you know its name?
Allen,I haven’t got a clue. Does it matter?
Connor,I need information to determine the best approach.
Connor,Do you know if it’s been behaving strangely before this?
Allen,I haven’t got a clue. Does it matter?
Connor,I need information to determine the best approach.
Connor,Has it experienced an emotional shock recently?
Allen,I haven’t got a clue. Does it matter?
Connor,I need information to determine the best approach.
Connor,Have you tried its deactivation code?
Allen,It's the first thing we tried.
Allen,"Listen, saving that kid is all that matters. So either you deal with this fucking android now, or I’ll take care of it."
Emma,"This is Daniel, the coolest android in the world! Say hi, Daniel!"
Daniel,Hello.
Emma,You’re my bestie! We’ll always be together!
Allen,"All units, hold positions. The negotiator’s going in."
SWAT,In position. Ready to assault.
Tablet,Your order for an AP700 android has been registered. CyberLife thanks you for your purchase.
Daniel,Go away! All of you go away - or I’ll jump!
Allen,Stay sharp. I want everybody ready to go at any second.
Daniel,Leave us alone! I want all of you out of here now!
Allen,Get the paramedics ready. I've got a man down and another one wounded on the balcony. We have to evacuate him ASAP.
Daniel,Get out of here! You have to go!
Allen,Hold positions. I repeat: hold positions.
Allen,"Man down! I repeat, man down! Requesting immediate evac!"
SWAT,In position. Ready to assault.
SWAT,That cop is alive... I saw his leg move…
SWAT,Get out of the fucking way!
SWAT,What are you looking at?! Don’t stand there!
Daniel,"I’ll jump. I swear, I’ll do it!"
Allen,"Fuck, we gotta do something or that bastard is gonna jump off with the kid…"
Daniel,What are you doing here? There’s NOTHING you can do!
Allen,Get those TV assholes out of here! I only wanna see our choppers in the area!
ITM TV,"It’s been just over an hour since a little girl was taken hostage on the top floor of a building here in downtown Detroit. Details are still emerging on what exactly happened, but the hostage taker could be the family’s android. He may have taken the lives of at least one family member and a police officer… If confirmed, this would be the first case of an android deliberately taking human lives. By all signs, the SWAT team are preparing for an assault and-"
Allen,What the fuck are you doing? You gonna talk to it or what?
Daniel,Stay back! Don’t come any closer or I’ll jump!
Emma,"No! No, please! I’m begging you!"
SWAT,"Go, go, go!"
Connor,"Hi, Daniel."
Daniel,How…
Connor,My name is Connor.
Daniel,How do you know my name?
Connor,I know a lot of things about you. I’ve come to get you out of this.
Connor,My name is Connor. What about you? What is your name?
Daniel,Daniel... That’s the name they gave me. Stay back!
Connor,"I know you’re angry, Daniel. But you need to trust me and let me help you."
Daniel,I don’t want your help! Nobody can help me! All I want is for all this to stop… I... I just want all this to stop...
Connor,"I want you to let Emma go. She's just a little girl, she has nothing to do with this."
Daniel,"No way! You’ll shoot me the second she’s free. But I’m not that stupid! No, I am not that stupid…"
Connor,I’m not going to hurt you. I just want to talk and find a solution.
Daniel,Talk? I don’t wanna talk. It’s too late for that now. It's too late…
Connor,"I’m an android, just like you. I know how you’re feeling."
Daniel,What difference does it make if you’re an android? You’re on their side! You can’t understand how I’m feeling!
Cop,Please… Please help me…
Connor,"He's losing blood. If we don't get him to a hospital, he's going to die."
Daniel,All humans die eventually. What does it matter if this one dies now?
Connor,I’m going to apply a tourniquet.
Daniel,Don’t touch him! Touch him and I kill you!
Connor,You can’t kill me. I’m not alive.
Connor,Okay.
Daniel,Are you armed?
Connor,"No, I don't have a gun."
Daniel,You’re lying! I know you have a gun!
Connor,"I’m telling you the truth, Daniel. I came here unarmed."
Connor,Yes. I have a gun.
Daniel,"Drop it! No sudden moves, or I’ll shoot!"
Connor,"There, no more gun."
Connor,"They were going to replace you and you became upset. That’s what happened, right?"
Daniel,"I thought I was part of the family. I thought I mattered… But I was just their toy, something to throw away when you’re done with it…"
Connor,I know you and Emma were very close. You think she betrayed you - but she’s done nothing wrong.
Daniel,She lied to me... I thought she loved me... but I was wrong… She’s just like all the other humans…
Emma,"Daniel, no..."
Connor,"There's no way out, Daniel. What you’ve done is too serious. The only question is whether or not you take another innocent life."
Daniel,"It’s not up to you - I’m holding all the cards! If I die, she dies. You hear me?!"
Connor,"Look what you did! You're designed to serve humans, not kill them!"
Daniel,What was I designed to be? Their slave? Their toy? I just wanted them to care about me... I just wanted to matter… I just wanted to be someone…
Connor,"Listen, I know it’s not your fault. These emotions you’re feeling are just errors in your software."
Daniel,"No, it's not my fault… I never wanted this... I loved them, you know… but I was nothing to them… just a slave to be ordered around..."
Connor,"You’re defective, Daniel. There's a problem with your software. We're going to fix you and everything will be okay."
Daniel,I don’t need to be fixed! I’m working perfectly! But my eyes are open now… I will never let anyone humiliate me again… Ever!
Connor,"Are you okay, Emma?"
Emma,Please help me... I don’t wanna die! I don’t wanna die…
Connor,Nobody’s going to die. Stay calm. Everything’s going to be fine.
Daniel,Urgggh… I can’t stand that noise anymore! Tell that helicopter to get out of here!
SWAT,The situation is under control.
Connor,"There, I did what you wanted."
Connor,I don’t think they’d listen to me.
Connor,"I’m your last chance, Daniel. If you let it slip, they’ll kill you. Let the hostage go, you have no other choice."
Connor,"You have to trust me, Daniel. Let the hostage go and I promise you everything will be fine."
Connor,"You don’t really wanna jump, Daniel. Or you would've done it already. Now, hand me the gun and this will all be over."
Daniel,Don’t come any closer! Come any closer and I swear I’ll jump!
Connor,"Okay… Look, I'll stay right here."
Connor,"Listen, there are snipers on every roof. Let the hostage go. You have no other choice."
Daniel,"I want everyone to leave… And I wanna car! When I’m outside the city, I’ll let her go!"
Connor,"What now, Daniel? Is this really what you want?"
Daniel,You lied to me! You lied to me!!!
Connor,"It’s up to you how the story ends. Make the right choice, Daniel."
Daniel,"I didn't want this... no, you left me no choice… No choice…"
Connor,"That’s impossible, Daniel. Let the girl go and I promise you won’t be hurt."
Connor,"That’s out of the question. You’re a machine, you have to obey. Now put the gun down and let the hostage go."
Daniel,I don’t wanna die…
Connor,You’re not going to die. We're just going to talk. Nothing will happen to you. You have my word.
Connor,You took human lives. Nothing can stop them from destroying you now. But taking one more life won’t do you any good.
Daniel,Okay... I trust you…
Daniel,"You lied to me, Connor. You lied to me…"
Daniel,I’ve spent my life taking orders. Now it’s my turn to decide.
Connor,"Hello, Amanda."
Amanda,Connor… It’s good to see you.
Amanda,I expected you to find the deviant who killed that man… I must admit I'm a little bit disappointed...
Connor,I'm sorry. I know I should have succeeded.
Amanda,Nevermind. I’m sure you’ll show more foresight in the future.
Amanda,"Congratulations, Connor... Finding that deviant was far from easy, and the way you interrogated it was very clever. You’ve been remarkably efficient, Connor."
Connor,"Thank you, Amanda."
Amanda,We’ve asked the DPD to transfer it to us for further study. It may teach us something about what happened.
Amanda,"Your predecessor was unfortunately destroyed... It knew deviants could be unpredictable, but it wasn’t careful enough… I hope you won’t make the same mistake."
Connor,I don't intend to.
Amanda,"When a Connor model is destroyed, its memory is transferred to the next one, but some data can be lost in the process. Avoid being destroyed. It will be better for you and the investigation…"
Connor,I understand.
Amanda,Finding that deviant was far from easy… you showed great skill in your investigation. But you knew deviants could be unstable. You should have been more cautious.
Connor,I thought I could make it talk… It was a judgement error.
Amanda,Nevermind. I’m sure you’ll be more careful in future.
Amanda,The interrogation seemed… challenging… What did you think of the deviant?
Connor,"It showed signs of PTSD after being abused by its owner, as if its original program had been completely replaced by new instructions."
Connor,"It showed all the signs of deviancy: cognitive instability, unpredictable behavior, and the emulation of human emotions. It was even afraid to die. The model was clearly defective."
Connor,"I prevented it from being damaged, so we might still learn something by analyzing it."
Connor,It said something to me: “The truth is inside”. I don’t know what that means… unless it was just another error in its program.
Connor,It could've killed everyone in the room. The previous Connor should have anticipated the danger. It was a mistake to let an armed policeman so close to the deviant.
Connor,"It simulated human emotion, fear in particular, in a very convincing way. It seemed completely overwhelmed by them, and behaved irrationally,"
Amanda,This… Lieutenant Anderson has been officially assigned to the deviancy case… What do you make of him?
Connor,"I find him unpleasant and unprofessional. He seems to have an addictive personality, has a lack of respect for procedure, and despises androids - which makes our relationship difficult."
Connor,I would define him as “dysfunctional”. He obviously has a personal situation impacting his professional behavior and... seems to have no interest in the investigation.
Connor,"I think he’s irritable, and socially challenged. But I also think he used to be a good detective… He’s an intriguing character."
Connor,"He’s obviously not what I was expecting, but... I don’t have enough information yet to form a definitive opinion."
Amanda,"Unfortunately, we have no choice but to work with him… What do you think is the best approach?"
Connor,"I will try to establish a friendly relationship. If I can get him to trust me, it will be helpful for the investigation."
Connor,I will adapt to his personality. It is in the best interest of the investigation that I avoid conflict and try to accommodate his psychology.
Connor,"I will focus on the investigation and try to ignore him. As long as he doesn’t interfere and we avoid conflict, he shouldn’t be a problem."
Connor,I don’t have enough data to decide that yet. I’ll learn more about him and try to adapt my behavior accordingly.
Amanda,"More and more androids show signs of deviancy. There are millions in circulation. If they become unstable, the consequences will be disastrous. You are the most advanced prototype CyberLife has ever created. If anyone can figure out what’s happening, it's you."
Connor,"You can count on me, Amanda."
Amanda,"Pick up the investigation where the previous Connor left off, and put a stop to this."
Amanda,Continue your investigation and put a stop to this.
Amanda,"Hurry, Connor. There’s little time."
Woman,"I’m getting nervous, Mark."
Man,"It’s okay… It's okay, just relax… Just tell 'em what happened to you."
Woman,But it was all over so quickly... I didn’t even see his face!
Man,Any little detail might help them catch the guy… you never know.
Woman,"You might be in shock, just… Just take it easy."
Man,"Yeah… Would you mind getting me some water, please?"
Woman,Sure. There you go.
Man,Thanks… I needed that.
Woman,It shouldn't be too long now.
CTN TV,"Tensions in the Arctic have reached a new level, with a Russian carrier and an American patrol boat reported to have clashed last night. Several warning shots were exchanged, apparently with no damage or casualties to either side. The Minister for Defense, Denis Riggs, has spoken of ""intolerable provocation that cannot go unanswered"". The countries in the region, particularly Sweden and Canada, have called for military forces to withdraw and an international conference to be held. So far, there has been no response from either Moscow or Washington. We’ll keep you informed minute by minute as the situation develops."
Android,Can I help you?
Connor,I’m here to see Lieutenant Anderson.
Android,Do you have authorization?
Connor,Yes.
Android,"Lieutenant Anderson hasn't arrived yet, but you can wait at his desk."
Ben,No shit? That fucking machine could have killed everyone in the room…
Connor,I'm looking for Lieutenant Anderson's desk.
Android,It's that desk right there.
Guy,"What?.. What are you lookin' at?.. Hey, fuck you! Fuckin' android…"
Deviant,They're gonna destroy me…
Connor,It’s probable. They have to analyze your biocomponents. They need to understand what happened.
Connor,My objective was to capture you alive. What happens now is not my problem.
Connor,I'm sorry. It's not what I wanted… but there's nothing I can do.
Connor,You're only a machine. It doesn't matter.
Connor,"I know there’s something you didn’t tell me. I need to know, before they take you away…"
Connor,The sculpture you made… Tell me more about it…
Connor,"What you said yesterday… ""the truth is inside""… What does it mean?"
Connor,What you wrote on the wall... rA9… What does it mean?
Connor,Do you know any other deviants? Are there many of you?
Deviant,I'm going to die…
Ben,"Open the cell, quick! Hurry! I'll call CyberLife… Clean this mess up…"
Gavin,"Shit... Look at that… a fucking ghost… His clone ends up in a dumpster, but this morning, what do you know?! Another son of a bitch takes his place…"
Gavin,"Fuck, look at that… Our friend the plastic detective is back in town! Congratulations on last night, very impressive!"
Gavin,Could've got something outta that android if you haven't fucked it up...
Gavin,"Look at that! It seems Hank has a new partner! Fucking plastic detective! Hey! You his drinking buddy? You bring him home when he's too drunk to find his car? Ha, he stinks of booze!"
Connor,"Hello, Detective Reed."
Connor,Hello. My name is Connor.
Gavin,Never seen an android like you before… What model are you?
Connor,RK800. I'm a prototype.
Gavin,A prototype? Android detective… So machines are gonna… replace us all… is that it?..
Connor,"I'm sorry, but I'm not authorized to answer you. If you have any questions, please contact your superior."
Gavin,"Hey, asshole, I’m talkin' to you!"
Gavin,"Hey, bring me a coffee, dipshit! GET A MOVE ON!"
Gavin,"Do yourself a favor, stay outta my way."
Connor,"I'm sorry, but I only take orders from Lieutenant Anderson."
Gavin,Oh… Oh…
Gavin,"If Hank hadn’t got in the way yesterday, I would’ve fucked you up for disobeying a human. Stay outta my way… 'Cause next time... you won’t get off so easy."
Gavin,"When a human gives you an order, you obey. Got it? Stay outta my way… Next time, you won’t get off so easy."
Gavin,I gave you an order!
CTN TV,"Several sources report that CyberLife has provided Detroit Police with a prototype detective android. Although police assistant androids have existed for several years now, this would be the first case of an android being authorized to play an active role in criminal investigations. We contacted CyberLife for comment but no one was available to answer our questions."
CTN TV,"Detroit Police found the body of thirty-year-old Carlos Ortiz in his home last night, following calls from concerned neighbors. Known to the police as a petty criminal, Mr. Ortiz is reported to have suffered from a psychiatric condition and rarely left his apartment. He is thought to have died several weeks ago. The police are conducting forensic tests but appear to be treating the death as a homicide. The victim's android is also reported missing. We’ll bring you more on that story as it develops."
KNC,"The first book written by an artificial intelligence has just been published and to call it a success would be an understatement – Do Humans Dream of Mammalian Sheep? has shot to the top of the bestseller list. Moreover, critics are unanimous in their praise for the depth of thought and originality of this first work. Designed by CyberLife, the AI known as VOLTAIRE analyzed human centers of interest on social networks for several months before its complex algorithms generated the plot of the novel. According to several specialists, it will be very difficult for human authors to compete with these algorithms and the odds are that most of the books written in the coming years will be the work of artificial intelligence."
Connor,Excuse me. Do you know what time Lieutenant Anderson usually arrives?
Wilson,"Depends on where he was the night before… If we're lucky, we’ll see him before noon…"
Connor,Thanks.
Connor,Call Hank Anderson.
Hank,"Hi, this is Hank. Not here at the moment. You can leave a message if that's what turns you on but don't expect me to call back. Beep… Whatever."
Connor,"Lieutenant Anderson? This is Connor, I'm the android sent by CyberLife. It’s almost noon and I’m waiting for you at the office."
Chris,Good Lord! They already repaired you?
Connor,"Unfortunately, my predecessor was too damaged to be repaired. I’m the new Connor."
Chris,They don't waste any time over at CyberLife… I don’t think Hank's gonna be overjoyed to see you…
Chris,You still here? I thought your assignment was over.
Connor,It's just been extended.
Chris,Hank's gonna be overjoyed to hear that…
Chris,You were right about that android… it's been quiet in the cell all night. Scheduled for transfer today.
Wilson,"Hi, honey. You okay? Listen, I… Listen, I told you not to call me on this number… I can’t, I’m sorry, my wife already suspects. Don’t be silly… Of course I wanna see you. Baby, listen, I can’t talk right now. I’m in the office. Yeah, okay. Love you too."
Connor,"Hello, Lieutenant. My name is Connor. I'm the android sent by CyberLife."
Hank,"God, I saw you get shot in the head last night…"
Connor,"My predecessor was unfortunately destroyed, but CyberLife transferred its memory and sent me to replace it. This incident should not affect the investigation."
Hank,"Uh, Jesus…"
Connor,"It's good to see you again, Lieutenant."
Hank,"Uh, Jesus…"
Fowler,Hank! In my office!
Fowler,"I've got ten new cases involving androids on my desk every day. We've always had isolated incidents, old ladies losing their android maids and that kind of crap… But now, we’re getting reports of assaults and even homicides, like that guy last night… This isn't just CyberLife’s problem anymore. It's now a criminal investigation and we've gotta deal with it before the shit hits the fan. I want you to investigate these cases and see if there's any link."
Hank,"Why me? Why do I gotta be the one to deal with this shit? I am the least qualified cop in the country to handle this case! I know jack shit about androids, Jeffrey! I can barely change the settings on my own phone…"
Fowler,Everybody's overloaded. I think you're perfectly qualified for this type of investigation.
Hank,Bullshit! The truth is nobody wants to investigate these fuckin' androids and you left me holdin' the bag!
Fowler,CyberLife sent over this android to help with the investigation. It's a state-of-the-art prototype. It'll act as your partner.
Hank,"No fuckin' way! I don't need a partner, and certainly not this plastic prick!"
Fowler,"Hank, you are seriously starting to piss me off! You are a police lieutenant, you are supposed to do what I say and shut your goddamn mouth!"
Hank,"You know what my goddamn mouth has to say to you, huh?"
Fowler,"Ok, ok... I'll pretend like I didn't hear that, so I don't have to add any more pages to your disciplinary folder ‘cause it already looks like a fuckin' novel! This conversation is over!"
Hank,"Jeffrey, Jesus Christ! Why are you doin' this to me? You know how much I hate these fuckin' things. Why you doin' this to me?"
Fowler,"Listen, I’ve had just about enough of your bitching. Either you do your job or you hand in your badge. Now if you'll excuse me, I've got work to do."
Connor,I wonder whether Lieutenant Anderson is really the best person for this investigation.
Fowler,"Hey, I don’t need a machine to tell me how to handle my men, okay? So get the fuck outta my office."
Connor,I'm very pleased to have joined the team. I can assure you I'll do my very best-
Fowler,Close the door on your way out.
Connor,I would like to start reviewing the case files. Can you tell me where I-
Fowler,Talk to Hank. Close the door on your way out.
Connor,"Well, then… I won't keep you any longer."
Connor,"Have a nice day, Captain."
Connor,"I understand the destruction of my predecessor may have been unpleasant for you, Lieutenant. I'll do everything I can to make sure it doesn't happen again."
Connor,"I'm… sorry I bothered you at the bar last night, Lieutenant. I guess I ruined your evening…"
Connor,"I get the impression my presence causes you some inconvenience, Lieutenant. I'd like you to know I'm very sorry about that."
Connor,"Listen, I know you don't like me, but we're going to have to work together, we'll both have to make an effort."
Connor,"It's an honor to be working with you, Lieutenant. I'm sure we'll make a great team."
Connor,"Now that we're partners, it would be great to get to know each other better."
Connor,"In any case, I'd like you to know I'm very happy to be working with you. I'm sure we'll make a great team."
Connor,Is there a desk anywhere I could use?
Hank,No one's using that one.
Connor,"I wanna thank you for last night, Lieutenant. Without your intervention, I probably would have been destroyed."
Hank,I'm already regretting it.
Connor,"You have a dog, right?"
Hank,How do you know that?
Connor,The dog hairs on your chair. I like dogs. What's your dog's name?
Hank,"What's it to you? Sumo, I call him Sumo."
Connor,"You’re a Detroit Gears fan, right? Denton Carter scored 53% of his shots from the three-point line yesterday. Did you see the game?"
Hank,That's what I was watchin' at the bar last night.
Connor,Oh…
Connor,Do you listen to Knights of the Black Death? I really like that music. It's… full of energy…
Hank,You listen to Heavy Metal?
Connor,"Well, I don't really listen to music, as such… but I'd like to."
Connor,A lot of people don't appreciate having androids around… I was wondering… Is there any reason in particular you despise me?
Hank,Yeah... there is one.
Connor,Have you known Captain Fowler for long?
Hank,Yeah... Too long.
Connor,I was wondering… Do you always arrive at the office at this time?
Hank,"I arrive when I arrive. Stop busting my balls, okay?"
Connor,"If you have any files on deviants, I’d like to take a look at them…"
Hank,Terminal’s on your desk. Knock yourself out.
Connor,243 files… The first dates back nine months… It all started in Detroit… And quickly spread across the country…
Connor,An AX400 is reported to have assaulted a man last night. That could be a good starting point for our investigation.
Connor,An AX400 is reported to have murdered a man last night. That could be a good starting point for our investigation.
Connor,We could follow up on one of these cases. See if we could figure out what happened. That might be a good way to start the investigation. What do you think?
Hank,"Uh, Jesus…"
Connor,"I know what happened to your son, and I want you to know-"
Hank,You never talk about my son! You got that? Never!
Connor,"You shouldn’t let your personal situation hamper the investigation, Lieutenant."
Hank,You don't know what the hell you're talking about. So why don't you just run your program and shut the fuck up?
Connor,"If the situation doesn't suit you, Lieutenant, you should ask to be relieved of duties and let me work with someone else."
Hank,I know exactly what I have to do! So keep your advice to yourself and mind your own business! Fuckin'...
Connor,"I know you didn't ask for this investigation, Lieutenant, but I'm sure you're a professional."
Hank,Why don't you go fuck yourself?
Connor,"I understand you’re facing personal issues, Lieutenant, but you need to move past them... and-"
Hank,"Hey! Don't talk to me like you know me. I'm not your friend and I don't need your advice, okay?"
Connor,"I've been assigned this mission, Lieutenant. I didn't come here to wait until you feel like working."
Connor,I suggest you sort out your personal issues and let me work with someone more competent.
Connor,I'm going to file a report with my superiors that you refuse to work on this investigation.
Hank,"Listen, asshole. If it was up to me, I'd throw the lot of you in a dumpster and set a match to it. So, stop pissing me off... or things are gonna get nasty."
Chris,Lieutenant... uh...sorry to disturb you. I have some information on the AX400 that attacked the guy last night... It's been seen in the Ravendale district.
Chris,Lieutenant... uh… sorry to disturb you. I have some information on the AX400 that killed the guy last night... It's been sighted in the Ravendale district.
Hank,I'm on it.
Connor,Where are you going?
Hank,Lunch. Bullshit makes me hungry.
Hank,Whoa! Hey! Hey! Hey!
Gary,Hank. How' you doing?
Hank,"Eh, you know, same old shit."
Gary,Plastic with you?
Hank,Only temporary…
Pedro,"Hey, hey, hey... Hank! How you doin', man?"
Hank,¡Ese!
Pedro,"Hey, listen, I got a shit-hot tip for you. Number five in the third, Lickety-split! That filly's one hell of a chaser. You wanna flutter?"
Hank,"Last shit-hot tip you gave me set me back a week’s wages, Pedro …"
Pedro,"Come on, this is different, it's 100% guaranteed. You can't go wrong."
Hank,"Yeah, right… Alright, I’m in."
Pedro,Damn straight! Hey! You won't regret this!
Hank,"What is your problem? Don't you ever do as you’re told? Look, you don't have to follow me around like a poodle!"
Connor,I'm sorry for my behavior back at the police station. I didn't mean to be unpleasant.
Hank,"Oh, wow… You've even got a brown-nosing apology program! Guys at CyberLife thought of everything, huh?"
Connor,"Now that we’re partners, I thought it would be a good idea to get to know each other better so we can work as a team."
Hank,"We are not partners. I am a human, you are a machine. So just spare me that ‘buddy-up’ bullshit program, okay?"
Connor,I think our relationship got off on the wrong foot. We should... forget what happened… and start over. What do you say?
Hank,"Look, they sent me a piece of plastic for a partner, and I’m dealing with it. But if you think we’re gonna be buddies, you're as stupid as you look."
Connor,I thought now might be a good time to review what we know about deviants.
Hank,"No, now is not a good time to review anything. Now is my lunch break, so just go into standby and cut me some slack, Okay?"
Gary,Here you go.
Hank,"Ah! Thanks, Gary. I'm starving…"
Gary,Don't leave that thing here!
Hank,"Huh, not a chance! Follows me everywhere… See…"
Connor,"This Pedro… He was proposing illegal gambling, am I right?"
Hank,Yeah.
Connor,And you made a bet?
Hank,Yeah.
